syriaca_uri,wikidata_id,zh-hans,zh-hant,zh,error_code
http://syriaca.org/place/4404,Q533432,"酒泉市
酒泉","酒泉市
酒泉","酒泉市
酒泉",
http://syriaca.org/place/4325,Q486545,"塔拉兹
","塔拉茲
","塔拉兹
塔拉斯
怛罗斯
養夷",
http://syriaca.org/place/4232,Q182159,"巴尔赫
","巴爾赫
","巴尔赫
八剌黑
缚喝国
薄知
班城
巴里黑
巴克特拉
薄渴罗",
http://syriaca.org/place/4249,Q7348,"印度河
","印度河
","印度河
",
http://syriaca.org/place/4220,Q131350,"
","尼沙普爾
","內沙布爾
尼沙布尔",
http://syriaca.org/place/865,Q5753,"撒马尔罕
","撒馬爾罕
撒馬爾干","撒馬爾罕
撒马尔干
撒馬爾干",
http://syriaca.org/place/646,Q17252,"西藏
吐蕃","西藏
圖博","西藏
吐蕃
藏区
藏",
http://syriaca.org/place/4328,Q237901,"塔里木河
","塔里木河
","塔里木河
",
http://syriaca.org/place/2537,Q57958,"镇江市
镇江
润","鎮江市
鎮江","鎮江市
鎮江",
http://syriaca.org/place/4265,Q644008,"卡尔希
","卡爾希
","卡爾希
纳萨夫",
http://syriaca.org/place/4384,,,,,
http://syriaca.org/place/4338,,,,,
http://syriaca.org/place/4392,Q29317,"
","
","蒲甘
",
http://syriaca.org/place/4491,,,,,
http://syriaca.org/place/500,Q863038,"印度东北部
","印度東北部
","印度东北部
",
http://syriaca.org/place/4410,,,,,
http://syriaca.org/place/461,Q1534252,"
","
","马拉巴尔
",
http://syriaca.org/place/4369,Q1330294,"建康
","建康
","建康
",
http://syriaca.org/place/4224,,,,,
http://syriaca.org/place/4356,,,,,
http://syriaca.org/place/472,,,,,
http://syriaca.org/place/4525,,,,,
http://syriaca.org/place/4409,,,,,
http://syriaca.org/place/4321,Q14121769,"焉耆镇
","
","焉耆镇
",
http://syriaca.org/place/4243,,,,,
http://syriaca.org/place/4353,Q570829,"赤峰市
赤峰","赤峰市
赤峰","赤峰市
赤峰",
http://syriaca.org/place/4279,Q413452,"
","
","碎葉城
碎葉
碎叶城",
http://syriaca.org/place/4291,Q192567,"伊犁河
","伊犁河
","伊犁河
",
http://syriaca.org/place/4289,Q200697,"吉尔吉特－巴尔蒂斯坦
","吉爾吉特－巴爾蒂斯坦
","吉尔吉特-巴尔蒂斯坦
克什米尔北部地区
北部地区
北部地區",
http://syriaca.org/place/523,Q45313,"赫拉特
","赫拉特
","赫拉特
哈烈",
http://syriaca.org/place/4406,Q483159,"锡尔河
","錫爾河
","锡尔河
药杀水
阿拉克赛斯河",
http://syriaca.org/place/479,Q6501000,"长安
","長安
","长安
長安
西安
Xī'ān
西安府
Cháng'ān
Xīān
Chángān",
http://syriaca.org/place/4398,Q62677,"
","哈拉和林
和林
哈剌和林
哈爾和林","哈拉和林
和林
哈剌和林
哈尔和林",
http://syriaca.org/place/4472,Q5089,"
","恆河
","恒河
",
http://syriaca.org/place/4252,Q8660,"卡拉奇
","喀拉蚩
","卡拉奇
喀拉蚩
克拉嗤",
http://syriaca.org/place/4300,Q837425,"库尔勒市
","庫爾勒市
","库尔勒市
库尔勒
庫爾勒
庫爾勒市
庫爾勒縣",
http://syriaca.org/place/4415,,,,,
http://syriaca.org/place/4327,Q2302162,"塔尔加尔
","塔爾加爾
阿拉木圖州","塔爾加爾
",
http://syriaca.org/place/4335,Q1070,"艾哈迈达巴德
","艾哈邁達巴德
亞美達巴德","艾哈迈达巴德
阿哇",
