node,ms-uri,node-structure,msItem-id,structure-id,xpath
"<bibl >Add. 14,644, no. 12</bibl>",http://syriaca.org/manuscript/415,<bibl >CDATA</bibl>,p1a5,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msContents/msItem[5]/note/bibl
"<bibl >Add. 14,601, no. 3</bibl>",http://syriaca.org/manuscript/415,<bibl >CDATA</bibl>,p1a7,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msContents/msItem[7]/note/bibl
"<bibl >Add. 14,647, fol. 157 b</bibl>",http://syriaca.org/manuscript/415,<bibl >CDATA</bibl>,p1a8,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msContents/msItem[8]/note/bibl
"<bibl >Add. 14,645, no. 40</bibl>",http://syriaca.org/manuscript/415,<bibl >CDATA</bibl>,p1a9,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msContents/msItem[9]/note/bibl
"<bibl >Add. 12,172, fol. 32 b</bibl>",http://syriaca.org/manuscript/415,<bibl >CDATA</bibl>,p1a14,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msContents/msItem[14]/note/bibl
"<bibl >Add. 12,172, fol. 35 b</bibl>",http://syriaca.org/manuscript/415,<bibl >CDATA</bibl>,p1a15,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msContents/msItem[15]/note/bibl
"<bibl >Add. 12,174, no. 77</bibl>",http://syriaca.org/manuscript/415,<bibl >CDATA</bibl>,p1a16,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msContents/msItem[16]/note/bibl[2]
"<bibl >Add. 12,174, no. 21</bibl>",http://syriaca.org/manuscript/415,<bibl >CDATA</bibl>,p1a20,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msContents/msItem[20]/note/bibl
"<bibl >Add. 14,641, fol. 160 a</bibl>",http://syriaca.org/manuscript/415,<bibl >CDATA</bibl>,p1a21,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msContents/msItem[21]/note/bibl
"<bibl >Add. 14,641, no. 4, h.</bibl>",http://syriaca.org/manuscript/415,<bibl >CDATA</bibl>,p1a27,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msContents/msItem[27]/note[2]/bibl
"<bibl >Add. 12,167, no. vii</bibl>",http://syriaca.org/manuscript/415,<bibl >CDATA</bibl>,p2b1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[2]/msContents/msItem/msItem[1]/note/bibl[2]
"<bibl >Add. 12,167, no. vii., 2</bibl>",http://syriaca.org/manuscript/415,<bibl >CDATA</bibl>,p2b2,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[2]/msContents/msItem/msItem[2]/note/bibl[2]
