Deprecated Syriaca URI,CBSS URI
http://syriaca.org/bibl/2388,http://syriaca.org/cbss/V22DFMLS
https://zotero.org/groups/392292/items/KDNFVJ77,http://syriaca.org/cbss/V22DFMLS
http://syriaca.org/bibl/2397,http://syriaca.org/cbss/EENDJLU3
https://zotero.org/groups/392292/items/8CZPR3C4,http://syriaca.org/cbss/EENDJLU3
https://zotero.org/groups/392292/items/P5C3V2BP,http://syriaca.org/cbss/INIPWA2F
http://syriaca.org/bibl/1362,http://syriaca.org/cbss/QZRQ6MD8
https://zotero.org/groups/392292/items/HXA6AGQZ,http://syriaca.org/cbss/QZRQ6MD8
https://www.zotero.org/groups/4861694/A4TDC894,http://syriaca.org/cbss/TTP98QL3
http://syriaca.org/bibl/767,http://syriaca.org/cbss/67WGEHEB
https://zotero.org/groups/392292/items/8FLPH5SH,http://syriaca.org/cbss/I8CYHH72
https://zotero.org/groups/392292/items/K6ZUU4AX,http://syriaca.org/cbss/I8CYHH72
https://www.zotero.org/groups/4861694/7M95WDRP,http://syriaca.org/cbss/SNWUA6T9
https://www.zotero.org/groups/4861694/7BV52PP2,http://syriaca.org/cbss/4MHQHP98
https://www.zotero.org/groups/4861694/G37C972W,http://syriaca.org/cbss/4FIF4YDK
http://syriaca.org/bibl/936,http://syriaca.org/cbss/22T8VYIJ
http://syriaca.org/bibl/991,http://syriaca.org/cbss/SUWNU5MI
http://syriaca.org/bibl/776,http://syriaca.org/cbss/45KYLSW7
http://syriaca.org/bibl/2504,http://syriaca.org/cbss/RZCHNQI6
https://zotero.org/groups/392292/items/2TXBZRWR,http://syriaca.org/cbss/RZCHNQI6
http://syriaca.org/bibl/2318,http://syriaca.org/cbss/2LY4AIPB
https://zotero.org/groups/392292/items/XA5X7F6X,http://syriaca.org/cbss/2LY4AIPB
http://syriaca.org/bibl/703,http://syriaca.org/cbss/5HZ9IZ2D
http://syriaca.org/bibl/801,http://syriaca.org/cbss/9DPX4DX3
https://www.zotero.org/groups/4861694/JZGGEUL5,http://syriaca.org/cbss/PJJUXHP3
https://www.zotero.org/groups/4861694/LPSWY5MG,http://syriaca.org/cbss/5GY6LZR6
https://www.zotero.org/groups/4861694/BZ8M8B2L,http://syriaca.org/cbss/U8ADHL7I
https://zotero.org/groups/392292/items/Z8AZ79IY,http://syriaca.org/cbss/UX9IJTGT
https://www.zotero.org/groups/4861694/82I6W7NY,http://syriaca.org/cbss/K2V9G5WI
https://www.zotero.org/groups/4861694/93S62LIY,http://syriaca.org/cbss/Y283EEEY
http://syriaca.org/bibl/1711,http://syriaca.org/cbss/KFAQLQ38
https://zotero.org/groups/392292/items/KBRUH74G,http://syriaca.org/cbss/KFAQLQ38
https://zotero.org/groups/392292/items/TXRJHP96,http://syriaca.org/cbss/4SG3AYK7
https://zotero.org/groups/392292/items/7AWMCRCH,http://syriaca.org/cbss/3VA5VWNW
https://www.zotero.org/groups/4861694/9WXH35JL,http://syriaca.org/cbss/HQ9UMCYH
http://syriaca.org/bibl/133,http://syriaca.org/cbss/EQT4UUUJ
http://syriaca.org/bibl/188,http://syriaca.org/cbss/C3HBJBU3
http://syriaca.org/bibl/241,http://syriaca.org/cbss/MT886KUM
http://syriaca.org/bibl/251,http://syriaca.org/cbss/6XCLZH6G
http://syriaca.org/bibl/401,http://syriaca.org/cbss/F7R3JXUP
http://syriaca.org/bibl/2223,http://syriaca.org/cbss/IYZRQH3D
https://zotero.org/groups/392292/items/ASXJUCTE,http://syriaca.org/cbss/IYZRQH3D
http://syriaca.org/bibl/22,http://syriaca.org/cbss/7LXDK5MY
http://syriaca.org/bibl/30,http://syriaca.org/cbss/Y33T23RS
http://syriaca.org/bibl/31,http://syriaca.org/cbss/MJHKGX2Y
http://syriaca.org/bibl/33,http://syriaca.org/cbss/N3N392NL
http://syriaca.org/bibl/34,http://syriaca.org/cbss/Q36SUU78
