uri,shelfmark,hmml_project_number,country,city,holding_institution,repository,collection,support,hmml_genres,locus,height_cm,width_cm,layout,date_after,date_before
https://w3id.org/vhmml/readingRoom/view/500884,MS 129,ZFRN 00129,Turkey,Mardin,,Dayr Za‘farān (Monastery),ZFRN,PAPER,Liturgical books (Eastern Christian),,,,"1 column, 21 lines per page",1881,1881
https://w3id.org/vhmml/readingRoom/view/500886,MS 131,ZFRN 00131,Turkey,Mardin,,Dayr Za‘farān (Monastery),ZFRN,PAPER,Liturgical books (Eastern Christian),,,,"1 column, 16 lines per pagee",1900,2000
https://w3id.org/vhmml/readingRoom/view/500887,MS 132,ZFRN 00132,Turkey,Mardin,,Dayr Za‘farān (Monastery),ZFRN,PAPER,Liturgical books (Eastern Christian),,,,"2 columns, 15 lines per page",1906,1906
https://w3id.org/vhmml/readingRoom/view/500888,MS 133,ZFRN 00133,Turkey,Mardin,,Dayr Za‘farān (Monastery),ZFRN,PAPER,Liturgical books (Eastern Christian),,,,"1 column, 17 lines per page",1906,1906
https://w3id.org/vhmml/readingRoom/view/500889,MS 134,ZFRN 00134,Turkey,Mardin,,Dayr Za‘farān (Monastery),ZFRN,PAPER,Liturgical books (Eastern Christian),,,,"1 column, 19 lines per page",1900,2000
https://w3id.org/vhmml/readingRoom/view/500891,MS 136,ZFRN 00136,Turkey,Mardin,,Dayr Za‘farān (Monastery),ZFRN,PAPER,Liturgical books (Eastern Christian),,,,"1 column, 18 lines per page",1500,1700
https://w3id.org/vhmml/readingRoom/view/500892,MS 137,ZFRN 00137,Turkey,Mardin,,Dayr Za‘farān (Monastery),ZFRN,PAPER,Liturgical books (Eastern Christian),,,,"1 column, 25 lines per page",1600,1800
https://w3id.org/vhmml/readingRoom/view/500893,MS 138,ZFRN 00138,Turkey,Mardin,,Dayr Za‘farān (Monastery),ZFRN,PAPER,Liturgical books (Eastern Christian) | Psalters,fol. 1r-46v,,,"2 columns, 24 lines",1600,1800
https://w3id.org/vhmml/readingRoom/view/500894,MS 140,ZFRN 00140,Turkey,Mardin,,Dayr Za‘farān (Monastery),ZFRN,PAPER,Liturgical books (Eastern Christian),,,,"1 column, 16 lines per page",1800,2000
https://w3id.org/vhmml/readingRoom/view/500895,MS 141,ZFRN 00141,Turkey,Mardin,,Dayr Za‘farān (Monastery),ZFRN,PAPER,Liturgical books (Eastern Christian),,,,"1 column, 14 lines per page",1960,1960
https://w3id.org/vhmml/readingRoom/view/500896,MS 142,ZFRN 00142,Turkey,Mardin,,Dayr Za‘farān (Monastery),ZFRN,PAPER,Liturgical books (Eastern Christian),,,,"1 column, 16 lines per page",1900,1950
https://w3id.org/vhmml/readingRoom/view/500897,MS 143,ZFRN 00143,Turkey,Mardin,,Dayr Za‘farān (Monastery),ZFRN,PAPER,Liturgical books (Eastern Christian),,,,"1 column, 15 lines per page",1900,2000
https://w3id.org/vhmml/readingRoom/view/500898,MS 144,ZFRN 00144,Turkey,Mardin,,Dayr Za‘farān (Monastery),ZFRN,PAPER,Liturgical books (Eastern Christian),,,,"1 column, 14 lines per page",1850,1919
https://w3id.org/vhmml/readingRoom/view/500899,MS 145,ZFRN 00145,Turkey,Mardin,,Dayr Za‘farān (Monastery),ZFRN,PAPER,Liturgical books (Eastern Christian),,,,"1 column, 15 lines per page",1900,2000
https://w3id.org/vhmml/readingRoom/view/500900,MS 146,ZFRN 00146,Turkey,Mardin,,Dayr Za‘farān (Monastery),ZFRN,PAPER,Liturgical books (Eastern Christian) | Hymns,,,,"1 column, 16 lines per page",1900,2000
https://w3id.org/vhmml/readingRoom/view/500901,MS 147,ZFRN 00147,Turkey,Mardin,,Dayr Za‘farān (Monastery),ZFRN,PAPER,Liturgical books (Eastern Christian),,,,"1 column, 18 lines per page",1900,2000
https://w3id.org/vhmml/readingRoom/view/500917,MS 250 S,SOAA 00250 S,Syria,Aleppo,,Syriac Orthodox Church. Archdiocese of Aleppo,SOAA,PAPER,Historical works,fol. 1r-387v,,,"1-3 columns, 44 lines per page",1598,1598
https://w3id.org/vhmml/readingRoom/view/500938,SEIQ 00002,SEIQ 00002,Iraq,Qarah Qūsh,,Syriac Catholic Seminary,SEIQ,PAPER,Liturgical books (Eastern Christian),,,,"1 column, 14 lines per page",1700,1900
https://w3id.org/vhmml/readingRoom/view/500940,SEIQ 00004,SEIQ 00004,Iraq,Qarah Qūsh,,Syriac Catholic Seminary,SEIQ,PAPER,Liturgical books (Eastern Christian),,,,"1 column, 14-18 lines per page",1600,1900
